ibge_code,city,latitude,longitude
3550308,São Paulo,-23.533,-46.64
3304557,Rio de Janeiro,-22.913,-43.2
5300108,Brasília,-15.78,-47.93
2304400,Fortaleza,-3.717,-38.542
2927408,Salvador,-12.972,-38.501
3106200,Belo Horizonte,-19.91,-43.927
1302603,Manaus,-3.119,-60.021
4106902,Curitiba,-25.42,-49.265
2611606,Recife,-8.047,-34.877
5208707,Goiânia,-16.686,-49.264
4314902,Porto Alegre,-30.032,-51.206
1501402,Belém,-1.455,-48.49
3518800,Guarulhos,-23.454,-46.533
3509502,Campinas,-22.905,-47.066
2111300,São Luís,-2.539,-44.282
2704302,Maceió,-9.666,-35.735
5002704,Campo Grande,-20.449,-54.63
3304904,São Gonçalo,-22.827,-43.063
2211001,Teresina,-5.092,-42.803
2507507,João Pessoa,-7.115,-34.864
3548708,São Bernardo do Campo,-23.691,-46.565
3301702,Duque de Caxias,-22.786,-43.305
3303500,Nova Iguaçu,-22.756,-43.46
2408102,Natal,-5.794,-35.199
3547809,Santo André,-23.674,-46.543
3534401,Osasco,-23.532,-46.792
3552205,Sorocaba,-23.497,-47.445
3170206,Uberlândia,-18.914,-48.275
3543402,Ribeirão Preto,-21.17,-47.81
3549904,São José dos Campos,-23.19,-45.884
5103403,Cuiabá,-15.601,-56.097
2607901,Jaboatão dos Guararapes,-8.113,-35.015
3118601,Contagem,-19.932,-44.054
4209102,Joinville,-26.304,-48.849
2910800,Feira de Santana,-12.266,-38.966
2800308,Aracaju,-10.909,-37.068
4113700,Londrina,-23.304,-51.169
3136702,Juiz de Fora,-21.76,-43.34
4205407,Florianópolis,-27.594,-48.548
5201405,Aparecida de Goiânia,-16.82,-49.247
3205002,Serra,-20.121,-40.307
3301009,Campos dos Goytacazes,-21.762,-41.318
3300456,Belford Roxo,-22.764,-43.399
3303302,Niterói,-22.883,-43.103
3549805,São José do Rio Preto,-20.811,-49.376
1500800,Ananindeua,-1.364,-48.374
3205200,Vila Velha,-20.342,-40.288
4305108,Caxias do Sul,-29.163,-51.179
1100205,Porto Velho,-8.761,-63.9
3530607,Mogi das Cruzes,-23.521,-46.185
3525904,Jundiaí,-23.185,-46.897
1600303,Macapá,0.035,-51.069
3305109,São João de Meriti,-22.806,-43.373
3538709,Piracicaba,-22.734,-47.648
2504009,Campina Grande,-7.222,-35.873
3548500,Santos,-23.954,-46.335
3529401,Mauá,-23.668,-46.461
3143302,Montes Claros,-16.728,-43.858
1400100,Boa Vista,2.824,-60.675
3106705,Betim,-19.967,-44.201
4115200,Maringá,-23.42,-51.933
5201108,Anápolis,-16.328,-48.953
3513801,Diadema,-23.681,-46.62
3510609,Carapicuíba,-23.524,-46.841
2611101,Petrolina,-9.389,-40.503
3506003,Bauru,-22.325,-49.087
2604106,Caruaru,-8.285,-35.97
2933307,Vitória da Conquista,-14.862,-40.844
3523107,Itaquaquecetuba,-23.484,-46.346
1200401,Rio Branco,-9.975,-67.824
4202404,Blumenau,-26.916,-49.071
4119905,Ponta Grossa,-25.092,-50.167
2303709,Caucaia,-3.728,-38.662
3201308,Cariacica,-20.263,-40.416
3516200,Franca,-20.535,-47.404
2609600,Olinda,-8.01,-34.854
3541000,Praia Grande,-24.008,-46.412
4104808,Cascavel,-24.957,-53.459
4304606,Canoas,-29.913,-51.186
2610707,Paulista,-7.934,-34.868
3170107,Uberaba,-19.747,-47.938
1506807,Santarém,-2.438,-54.7
3551009,São Vicente,-23.957,-46.388
3154606,Ribeirão das Neves,-19.762,-44.084
4125506,São José dos Pinhais,-25.531,-49.203
4314407,Pelotas,-31.765,-52.337
3205309,Vitória,-20.316,-40.313
3505708,Barueri,-23.506,-46.879
3554102,Taubaté,-23.01,-45.559
3552502,Suzano,-23.545,-46.311
1721000,Palmas,-10.24,-48.356
2905701,Camaçari,-12.7,-38.326
5108402,Várzea Grande,-15.646,-56.132
3526902,Limeira,-22.566,-47.397
3518701,Guarujá,-23.989,-46.258
2307304,Juazeiro do Norte,-7.196,-39.308
4108304,Foz do Iguaçu,-25.543,-54.583
3552403,Sumaré,-22.82,-47.273
3303906,Petrópolis,-22.52,-43.193
3513009,Cotia,-23.602,-46.919
3552809,Taboão da Serra,-23.602,-46.753
2105302,Imperatriz,-5.518,-47.478
4316907,Santa Maria,-29.687,-53.815
4216602,São José,-27.614,-48.637
1505536,Parauapebas,-6.068,-49.904
1504208,Marabá,-5.381,-49.133
4309209,Gravataí,-29.941,-50.987
2408003,Mossoró,-5.184,-37.347
4208203,Itajaí,-26.91,-48.67
3306305,Volta Redonda,-22.52,-44.1
3127701,Governador Valadares,-18.854,-41.956
3520509,Indaiatuba,-23.082,-47.21
3548906,São Carlos,-22.017,-47.886
4204202,Chapecó,-27.1,-52.615
2403251,Parnamirim,-5.911,-35.271
3515004,Embu das Artes,-23.644,-46.858
3302403,Macaé,-22.377,-41.785
5107602,Rondonópolis,-16.467,-54.637
2111201,São José de Ribamar,-2.547,-44.06
5003702,Dourados,-22.223,-54.812
3503208,Araraquara,-21.784,-48.178
3524402,Jacareí,-23.298,-45.966
2918407,Juazeiro,-9.416,-40.503
3529005,Marília,-22.217,-49.95
3501608,Americana,-22.737,-47.333
3519071,Hortolândia,-22.853,-47.214
2700300,Arapiraca,-9.755,-36.662
2307650,Maracanaú,-3.867,-38.626
3522505,Itapevi,-23.549,-46.933
4105805,Colombo,-25.292,-49.226
3122306,Divinópolis,-20.145,-44.891
3302502,Magé,-22.663,-43.032
3131307,Ipatinga,-19.47,-42.548
4313409,Novo Hamburgo,-29.688,-51.133
3167202,Sete Lagoas,-19.457,-44.241
5218805,Rio Verde,-17.792,-50.919
5200258,Águas Lindas de Goiás,-15.762,-48.282
3541406,Presidente Prudente,-22.121,-51.392
3301900,Itaboraí,-22.756,-42.864
4323002,Viamão,-30.082,-51.019
4211900,Palhoça,-27.646,-48.67
3300704,Cabo Frio,-22.889,-42.029
3157807,Santa Luzia,-19.755,-43.85
4318705,São Leopoldo,-29.754,-51.15
4204608,Criciúma,-28.672,-49.373
5212501,Luziânia,-16.253,-47.95
4314100,Passo Fundo,-28.258,-52.409
2602902,Cabo de Santo Agostinho,-8.282,-35.025
2919207,Lauro de Freitas,-12.898,-38.321
2312908,Sobral,-3.689,-40.348
3543907,Rio Claro,-22.398,-47.555
3502804,Araçatuba,-21.208,-50.44
5221858,Valparaíso de Goiás,-16.065,-47.976
3302700,Maricá,-22.935,-42.825
5107909,Sinop,-11.86,-55.509
2804805,Nossa Senhora do Socorro,-10.847,-37.123
1502400,Castanhal,-1.298,-47.917
4315602,Rio Grande,-32.035,-52.107
3303401,Nova Friburgo,-22.293,-42.538
4300604,Alvorada,-29.991,-51.081
2914802,Itabuna,-14.788,-39.278
3201209,Cachoeiro de Itapemirim,-20.846,-41.12
3545803,Santa Bárbara d'Oeste,-22.755,-47.414
4208906,Jaraguá do Sul,-26.485,-49.071
4109401,Guarapuava,-25.39,-51.462
3515707,Ferraz de Vasconcelos,-23.541,-46.371
2913606,Ilhéus,-14.793,-39.046
3507605,Bragança Paulista,-22.953,-46.542
2112209,Timon,-5.098,-42.833
1702109,Araguaína,-7.192,-48.204
3129806,Ibirité,-20.025,-44.057
3300407,Barra Mansa,-22.548,-44.175
2925303,Porto Seguro,-16.444,-39.064
3523909,Itu,-23.254,-47.293
3300100,Angra dos Reis,-23.001,-44.32
3302858,Mesquita,-22.803,-43.46
3203205,Linhares,-19.395,-40.064
3548807,São Caetano do Sul,-23.623,-46.555
3538006,Pindamonhangaba,-22.925,-45.461
3516309,Francisco Morato,-23.279,-46.745
3305802,Teresópolis,-22.416,-42.975
4209300,Lages,-27.815,-50.326
3151800,Poços de Caldas,-21.78,-46.569
2207702,Parnaíba,-2.906,-41.775
2903201,Barreiras,-12.144,-44.997
3148004,Patos de Minas,-18.57,-46.501
2918001,Jequié,-13.851,-40.088
3504107,Atibaia,-23.117,-46.556
3522208,Itapecerica da Serra,-23.716,-46.857
1500107,Abaetetuba,-1.722,-48.879
3522307,Itapetininga,-23.589,-48.048
2103000,Caxias,-4.865,-43.362
3304524,Rio das Ostras,-22.517,-41.948
5220454,Senador Canedo,-16.708,-49.091
3547304,Santana de Parnaíba,-23.444,-46.918
3530706,Mogi Guaçu,-22.368,-46.943
3152501,Pouso Alegre,-22.227,-45.939
4101804,Araucária,-25.586,-49.405
2900702,Alagoinhas,-12.134,-38.421
4127700,Toledo,-24.725,-53.741
2513703,Santa Rita,-7.117,-34.975
4107652,Fazenda Rio Grande,-25.662,-49.307
2603454,Camaragibe,-8.024,-34.978
3303203,Nilópolis,-22.806,-43.423
4118204,Paranaguá,-25.516,-48.522
2107506,Paço do Lumiar,-2.517,-44.102
2931350,Teixeira de Freitas,-17.54,-39.74
3507506,Botucatu,-22.884,-48.444
3516408,Franco da Rocha,-23.323,-46.729
2606002,Garanhuns,-8.882,-36.497
5221403,Trindade,-16.652,-49.493
4202909,Brusque,-27.098,-48.911
3304144,Queimados,-22.71,-43.552
4202008,Balneário Camboriú,-26.993,-48.635
3168606,Teófilo Otoni,-17.86,-41.509
3170701,Varginha,-21.556,-45.436
4104204,Campo Largo,-25.452,-49.529
4303103,Cachoeirinha,-29.947,-51.102
3510500,Caraguatatuba,-23.612,-45.412
3545209,Salto,-23.2,-47.293
